Cornu ammonis,cocomac:130,Ammon's horn,UBERON:0001954,FMA:62493
medial parabrachial nucleus,cocomac:2100,medial parabrachial nucleus,UBERON:0002918,FMA:72480
Medial nucleus of the amygdala,cocomac:1731,medial amygdaloid nucleus,UBERON:0002892,FMA:74046
Nucleus cuneatus,cocomac:2156,cuneate nucleus,UBERON:0002045,FMA:68465
Nucleus paraventricularis posterior thalami,cocomac:1576,posterior paraventricular nucleus of thalamus,UBERON:0000433,FMA:76961
posterior hypothalamic area,cocomac:2055,posterior nucleus of hypothalamus,UBERON:0002706,FMA:62350
Nucleus of the lateral olfactory tract,cocomac:77,nucleus of lateral olfactory tract,UBERON:0002893,FMA:61865
Nucleus centralis lateralis thalami,cocomac:247,central lateral nucleus,UBERON:0003036,FMA:62170
presubiculum,cocomac:808,presubiculum,UBERON:0001953,FMA:62486
Nucleus subthalamicus,cocomac:1693,subthalamic nucleus,UBERON:0001906,FMA:62035
Basomedial nucleus of the amygdala,cocomac:1728,accessory basal amygdaloid nucleus,UBERON:0002885,FMA:61867
Putamen,cocomac:101,putamen,UBERON:0001874,FMA:61834
Nucleus medialis amygdalae,cocomac:2208,medial amygdaloid nucleus,UBERON:0002892,FMA:74046
habenular nuclei,cocomac:1503,habenular nucleus,UBERON:0008993,
"Nucleus caudatus; head, medial, ventral",cocomac:958,caudate nucleus,UBERON:0001873,FMA:61833
Nucleus medialis dorsalis thalami,cocomac:114,medial dorsal nucleus of thalamus,UBERON:0002739,FMA:62156
"Nucleus caudatus; genu, intermediate, dorsal",cocomac:1133,caudate nucleus,UBERON:0001873,FMA:61833
Nucleus paraventricularis posterior thalami,cocomac:231,posterior paraventricular nucleus of thalamus,UBERON:0000433,FMA:76961
"Nucleus caudatus; tail, lateral, dorsal",cocomac:1144,caudate nucleus,UBERON:0001873,FMA:61833
Nucleus pulvinaris oralis thalami,cocomac:2112,oral pulvinar nucleus,UBERON:0002641,FMA:62180
Nucleus limitans thalami,cocomac:2206,limitans nucleus,UBERON:0003026,FMA:62220
Putamen,cocomac:1590,putamen,UBERON:0001874,FMA:61834
